,ItemNumber,Category,CategoryName,ItemDescription,BottleVolume(ml),Proof,Imported,Type
4106,40017,1031200.0,american flavored vodka,grand teton huckleberry flavored vodka,750.0,70.0,domestic,vodka
4107,87194,1022200.0,100% agave tequila,818 blanco tequila,750.0,80.0,domestic,tequila
4108,101820,1701100.0,temporary & specialty packages,ardbeg rdcore gb,750.0,92.0,domestic,other
4109,956875,1071100.0,cocktails /rtd,bartenders bananas over you,750.0,25.0,domestic,cocktails
4110,87181,1022200.0,100% agave tequila,818 reposado tequila,750.0,80.0,domestic,tequila
4111,926620,1011700.0,corn whiskies,century farms prairie states corn whiskey,750.0,80.0,domestic,whiskey
4112,65748,1092100.0,imported distilled spirit specialty,don agave barrel rested,1000.0,80.0,imported,other
4113,19908,1011200.0,straight bourbon whiskies,nelson bros classic whiskey,750.0,93.0,domestic,whiskey
4114,964105,1082100.0,imported cordials & liqueur,aperol,375.0,22.0,imported,liqueur
4115,984225,1081300.0,american cordials & liqueur,99 brand guava mini,50.0,99.0,domestic,liqueur
4116,29820,1041100.0,american dry gins,conciere gin,1000.0,80.0,domestic,gin
4117,100954,1701100.0,temporary & specialty packages,jim beam white with highball glass,750.0,80.0,domestic,other
4118,964049,1082100.0,imported cordials & liqueur,aalborg jubilaeums aquavit,750.0,80.0,imported,liqueur
4119,965803,1082100.0,imported cordials & liqueur,mathilde liquer cassis black currant,750.0,32.0,imported,liqueur
4120,902880,1901200.0,special order items,glenfarclas 25yr sing malt,750.0,86.0,domestic,other
4121,27794,1081600.0,whiskey liqueur,dr. apple whiskey,750.0,60.0,domestic,whiskey
4122,975213,1081300.0,american cordials & liqueur,kinky blue liqueur,375.0,34.0,domestic,liqueur
4123,27774,1081600.0,whiskey liqueur,dr. blackberry whiskey,750.0,60.0,domestic,whiskey
4124,66256,1062400.0,spiced rum,parrot bay spiced rum,750.0,70.0,domestic,rum
4125,924852,1012200.0,scotch whiskies,deanston 12 year old scotch whisky,750.0,93.0,domestic,whiskey
4126,55061,1051100.0,american brandies,mr boston blackberry brandy mini,50.0,70.0,domestic,brandy
4127,940800,1031200.0,american flavored vodka,,750.0,70.0,domestic,vodka
4128,56194,1051100.0,american brandies,paul masson peach grande amber brandy mini,600.0,54.0,domestic,brandy
4129,915997,1901200.0,special order items,penderyn single malt welsh why.,750.0,92.0,domestic,other
4130,909752,1081600.0,whiskey liqueur,middle west spirits bourbon cream,750.0,30.0,domestic,whiskey
4131,936762,1032100.0,imported vodkas,nikka coffey vodka,750.0,80.0,imported,vodka
4132,965178,1082100.0,imported cordials & liqueur,iichiko silhouette shochu,750.0,50.0,imported,liqueur
4133,989749,1022200.0,100% agave tequila,san matias rey sol anejo,750.0,80.0,domestic,tequila
4134,55062,1051100.0,american brandies,mr boston blackberry brandy,100.0,70.0,domestic,brandy
4135,902613,1062050.0,barbados rum,barbancourt 3* rhum 4yr,750.0,86.0,domestic,rum
4136,944565,1062500.0,flavored rum,cruzan passion fruit,750.0,42.0,domestic,rum
4137,907705,1091100.0,american distilled spirit specialty,middle west spirits sherry finished bourbon,750.0,98.0,domestic,whiskey
4138,27802,1081600.0,whiskey liqueur,dr. peach whiskey,750.0,60.0,domestic,whiskey
4139,86139,1022200.0,100% agave tequila,teremana anejo tequila,750.0,80.0,domestic,tequila
4140,988912,1022200.0,100% agave tequila,codigo 1530 tequila reposado mini,50.0,80.0,domestic,tequila
4141,45274,1062200.0,puerto rico & virgin islands rum,paramount white rum,375.0,80.0,domestic,rum
4142,942243,1062500.0,flavored rum,blue chair bay coconut rum,1750.0,53.0,domestic,rum
4143,18375,1011200.0,straight bourbon whiskies,four roses small batch select mini,50.0,104.0,domestic,whiskey
4144,54438,1051100.0,american brandies,mr boston apricot brandy,1750.0,70.0,domestic,brandy
4145,44341,1062400.0,spiced rum,calypso spiced rum,1000.0,70.0,domestic,rum
4146,915917,1012400.0,irish whiskies,tullamore dew 14yr,750.0,82.0,domestic,whiskey
4147,902576,1022100.0,mixto tequila,pueblo viejo anejo tequila,750.0,70.0,domestic,tequila
4148,903560,1901200.0,special order items,glengoyne 10yr scotch,750.0,86.0,domestic,whiskey
4149,968888,1082100.0,imported cordials & liqueur,tempus fugit spirits creme de noyaux,750.0,60.0,imported,liqueur
4150,26771,1011200.0,straight bourbon whiskies,old soul bourbon,750.0,90.0,domestic,whiskey
4151,904778,1901200.0,special order items,crystal head vodka,1750.0,80.0,domestic,vodka
4152,962475,1071100.0,cocktails /rtd,members mark spicy margarita,1750.0,25.0,domestic,cocktails
4153,49182,1052100.0,imported brandies,remy martin vsop,100.0,40.0,imported,brandy
4154,18997,1701100.0,temporary & specialty packages,jeffersons reserve pritchard hill cask,750.0,90.0,domestic,other
4155,72347,1091200.0,neutral grain spirits,honey moon,750.0,80.0,domestic,other
4156,19054,1701100.0,temporary & specialty packages,jeffersons ocean wheated bourbon,750.0,90.0,domestic,whiskey
4157,18989,1701100.0,temporary & specialty packages,jeffersons reserve twin oak,750.0,90.0,domestic,other
4158,34364,1031100.0,american vodkas,fris danish vodka,375.0,80.0,domestic,vodka
4159,80397,1091300.0,neutral grain spirits flavored,ole smoky banana pudding cream moonshine mini,50.0,35.0,domestic,whiskey
4160,25165,1701100.0,temporary & specialty packages,slipknot no 9 red cask,750.0,96.0,domestic,other
4161,15539,1011200.0,straight bourbon whiskies,bushmills 12yr single malt irish whiskey,750.0,80.0,domestic,whiskey
4162,86018,1012100.0,canadian whiskies,black velvet peach canadian whiskey,750.0,70.0,domestic,whiskey
4163,986570,1011200.0,straight bourbon whiskies,ha joseph magnus cigar blend bourbon,750.0,110.0,domestic,whiskey
4164,88984,1022200.0,100% agave tequila,tequila padre azul reposado,750.0,80.0,domestic,tequila
4165,27928,1701100.0,temporary & specialty packages,joseph magnus straight bourbon,750.0,100.0,domestic,whiskey
4166,86019,1012100.0,canadian whiskies,black velvet peach canadian whiskey,1750.0,70.0,domestic,whiskey
4167,16050,1701100.0,temporary & specialty packages,cedar ridge bottled in bond bourbon,750.0,100.0,domestic,whiskey
4168,85850,1022200.0,100% agave tequila,una familia tequila reposado,750.0,80.0,domestic,tequila
4169,925483,1011600.0,straight rye whiskies,ha lock stock & barrel 21yr straight rye whiskey,750.0,111.0,domestic,whiskey
4170,86828,1091300.0,neutral grain spirits flavored,ole smoky hunch punch moonshine mini,50.0,80.0,domestic,whiskey
4171,86017,1012100.0,canadian whiskies,black velvet peach canadian whiskey mini,50.0,70.0,domestic,whiskey
4172,86252,1011200.0,straight bourbon whiskies,devils river coffee bourbon,750.0,80.0,domestic,whiskey
4173,88982,1022200.0,100% agave tequila,tequila padre azul anejo,750.0,80.0,domestic,tequila
4174,101764,1701100.0,temporary & specialty packages,jameson orange w/ 2 soda cans,750.0,60.0,domestic,other
4175,37645,1031100.0,american vodkas,rock'n vodka,750.0,80.0,domestic,vodka
4176,86547,1011400.0,tennessee whiskies,ole smoky tennessee salty watermelon whiskey mini,50.0,60.0,domestic,whiskey
4177,14534,1701100.0,temporary & specialty packages,revel stoke smorgasm toasted smores whiskey mini,50.0,70.0,domestic,whiskey
4178,76501,1031200.0,american flavored vodka,the original pickle shot dill pickle vodka,750.0,30.0,domestic,vodka
4179,14536,1012100.0,canadian whiskies,revel stoke smoregasm toasted smores whisky,750.0,70.0,domestic,whiskey
4180,77209,1031200.0,american flavored vodka,soda jerk orange cream shot mini,50.0,70.0,domestic,vodka
4181,903590,1901200.0,special order items,cardenal mendoza brandy,750.0,80.0,domestic,brandy
4182,19320,1011100.0,blended whiskies,kentucky owl confiscated,750.0,96.0,domestic,whiskey
4183,66725,1011100.0,blended whiskies,shankys whip black spirits,750.0,66.0,domestic,whiskey
4184,101512,,,fireball cinnamon whiskey party yard mini,50.0,66.0,imported,vodka
4185,87722,1022200.0,100% agave tequila,lobos 1707 reposado necktie,750.0,80.0,domestic,tequila
4186,87782,1022200.0,100% agave tequila,ghost tequila blanco,750.0,80.0,domestic,tequila
4187,43728,1062200.0,puerto rico & virgin islands rum,probitas,750.0,94.0,domestic,rum
4188,88374,1022200.0,100% agave tequila,tequila padre azul silver,750.0,80.0,domestic,tequila
4189,85849,1022200.0,100% agave tequila,una familia tequila blanco,750.0,80.0,domestic,tequila
4190,76410,1701100.0,temporary & specialty packages,ole smoky sour razzin berry moonshine,750.0,40.0,domestic,whiskey
4191,64348,1032200.0,imported flavored vodka,ciroc passion,750.0,60.0,imported,vodka
4192,88603,1701100.0,temporary & specialty packages,bp don julio reposado private cask,750.0,85.0,domestic,other
4193,77201,1031200.0,american flavored vodka,soda jerk root beer shot mini,50.0,70.0,domestic,vodka
4194,25086,1701100.0,temporary & specialty packages,murray hill club a bourbon blend,750.0,103.0,domestic,whiskey
4195,943435,1901200.0,special order items,don q passion,750.0,60.0,domestic,other
4196,43895,1062300.0,flavored rum,r.l. seales 12 years aged rum,750.0,92.0,domestic,rum
4197,86600,1081600.0,whiskey liqueur,ballotin chocolate whiskey bourbon ball,750.0,60.0,domestic,whiskey
4198,78259,1701100.0,temporary & specialty packages,sugarlands fruit punch moonshine,750.0,50.0,domestic,whiskey
4199,101344,1071100.0,cocktails /rtd,drakes organic spiked ice variety box,100.0,24.0,domestic,cocktails
4200,85851,1022200.0,100% agave tequila,una familia tequila anejo,750.0,80.0,domestic,tequila
4201,26855,1011200.0,straight bourbon whiskies,toms town double oaked bourbon,750.0,90.0,domestic,whiskey
4202,26189,1701100.0,temporary & specialty packages,hooten young barrel proof american whiskey 15 yr,750.0,125.0,domestic,whiskey
4203,958001,1071000.0,cocktails/rtd,campari negroni rte,375.0,52.0,domestic,cocktails
4204,997101,1011200.0,straight bourbon whiskies,kings county distillery peated bourbon,750.0,90.0,domestic,whiskey
4205,37540,1031100.0,american vodkas,lord premium vodka,750.0,80.0,domestic,vodka
4206,942403,1062300.0,flavored rum,el dorado special reserve 12yr,750.0,80.0,domestic,rum
4207,87720,1022200.0,100% agave tequila,lobos 1707 joven necktie,750.0,80.0,domestic,tequila
4208,46623,1062200.0,puerto rico & virgin islands rum,parrot bay white rum,750.0,80.0,domestic,rum
4209,946502,1062300.0,flavored rum,,50.0,94.0,domestic,rum
4210,918301,1011300.0,single barrel bourbon whiskies,fireside single barrel cask strength,750.0,127.0,domestic,whiskey
4211,987841,1022200.0,100% agave tequila,herradura silver mini,50.0,80.0,domestic,tequila
4212,65507,1701100.0,temporary & specialty packages,drumshanbo sardinian citrus irish gin,750.0,86.0,domestic,rum
4213,87798,1701100.0,temporary & specialty packages,tres generaciones la colonial reposado,750.0,90.0,domestic,other
4214,978232,1081300.0,american cordials & liqueur,ver liqueur,700.0,100.0,domestic,liqueur
4215,921616,1011200.0,straight bourbon whiskies,the representative barrel proof bourbon,750.0,115.0,domestic,whiskey
4216,943433,1062500.0,flavored rum,don q oak barrel spiced rum,750.0,90.0,domestic,rum
4217,87712,1022200.0,100% agave tequila,tequila komos reposado rosa,750.0,80.0,domestic,tequila
4218,37578,1031100.0,american vodkas,have sextro vodka,750.0,80.0,domestic,vodka
4219,905426,1012300.0,single malt scotch,ha lagavulin distillers edition,750.0,86.0,domestic,whiskey
4220,977336,1091100.0,american distilled spirit specialty,sugarlands silver cloud tennessee sour mash,750.0,100.0,domestic,other
4221,26010,1012400.0,irish whiskies,keepers heart irish and bourbon whiskey,700.0,92.0,domestic,whiskey
4222,15542,1011200.0,straight bourbon whiskies,bushmills red bush,750.0,86.0,domestic,whiskey
4223,32470,1091100.0,american distilled spirit specialty,toms town botanical gin,750.0,90.0,domestic,gin
4224,905163,1012300.0,single malt scotch,glengoyne 25yr,750.0,96.0,domestic,whiskey
4225,956817,1051100.0,american brandies,st. george raspberry  brandy,750.0,80.0,domestic,brandy
4226,937266,1031100.0,american vodkas,jethros vodka,750.0,80.0,domestic,vodka
4227,943750,1062100.0,gold rum,ron del barrilito 2 star,750.0,46.0,domestic,rum
4228,88102,1022200.0,100% agave tequila,monte alban silver,1000.0,80.0,domestic,tequila
4229,64599,1082900.0,misc. imported cordials & liqueurs,caravella limoncello mini,600.0,56.0,imported,liqueur
4230,944268,1062100.0,gold rum,pussers gunpowder proof rum,750.0,109.0,domestic,rum
4231,37580,1701100.0,temporary & specialty packages,blue ox vodka anniversary edition,1000.0,80.0,domestic,vodka
4232,87969,1022200.0,100% agave tequila,tequila komos anejo cristalino,750.0,80.0,domestic,tequila
4233,965083,1082100.0,imported cordials & liqueur,giffard creme de peche de vigne,750.0,32.0,imported,liqueur
4234,87725,1022200.0,100% agave tequila,gran coramino reposado cristalino,750.0,80.0,domestic,tequila
4235,956819,1051100.0,american brandies,st. george pear brandy,750.0,80.0,domestic,brandy
4236,943752,1062100.0,gold rum,ron del barrilito 3 star,750.0,86.0,domestic,rum
4237,87132,1022200.0,100% agave tequila,tequila komos extra anejo,750.0,80.0,domestic,tequila
4238,926786,,,cedar ridge private cask selection malted rye 115prf,750.0,118.0,imported,vodka
