,StoreNumber,StoreName,County,CountyNumber,City,ZipCode,StoreLocation,Address,StoreType
1891,6168,brew oil #32 / spencer,clay,21,spencer,51301,POINT (-95.144439 43.13837),15 grand ave,Liquor/Tobacco
1892,6264,mlk liquor llc / des moines,polk,77,des moines,50310,POINT (-84.499766 33.755447),3424 martin luther king junior parkway,Liquor/Tobacco
1893,6221,hy-vee dollar fresh / orange city,sioux,84,orange city,51041,POINT (-96.041515 42.997499),1301 8th street southeast,Supermarket
1894,4718,walgreens #06623 / west des moines,polk,77,west des moines,50266,POINT (-93.736117 41.597473),1660 22nd st,Drug
1895,6239,larchwood quick stop / larchwood,lyon,60,larchwood,51241,POINT (-96.43415 43.45255),832 broadway street,Convenience
1896,6257,station mart 2 / evansdale,black hawk,7,evansdale,50707,POINT (-92.297765 42.462807),1119 river forest road,Convenience
1897,6200,hy-vee c store / mt. pleasant,henry,44,mount pleasant,52641,POINT (-91.52888 40.962331000000006),1702 east washington street,Supermarket
1898,6269,"neighborhood food, liquor & tobacco / cedar rapids",linn,57,cedar rapids,52404,POINT (-91.677082 41.961547),1601 6th st sw,Other Grocery
1899,6198,the liquor cabinet / clive,polk,77,clive,50325,POINT (-93.750508 41.601555),9761 university ave.,Liquor/Tobacco
1900,2686,hy-vee gas - pleasant hill,polk,77,pleasant hill,,,missing,Convenience
1901,4747,walgreens #11709 / davenport,scott,82,davenport,52803,POINT (-90.57401 41.537795),1805 brady st,Drug
1902,4798,walgreens #05721 / des moines,polk,77,des moines,50320,POINT (-93.596914 41.555952),3140 se 14th st,Drug
1903,2853,cvs pharmacy #10452  /  ames,story,85,ames,50014,POINT (-93.649579 42.022745),2420 lincoln way,Drug
1904,2448,bottle boutique,warren,91,indianola,50125,POINT (-93.55261600000001 41.358176),705 e. second,Liquor/Tobacco
1905,6270,sundstop / olin,jones,53,olin,52320,POINT (-91.141922 41.998117),400 jackson street,Convenience
1906,6246,kwik star #1142  / iowa city,johnson,52,iowa city,52240,POINT (-91.524686 41.642477),1907 keokuk street,Convenience
1907,4709,walgreens #12108 / ames,story,85,ames,50010,POINT (-93.620635 42.048974),2719 grand ave,Drug
1908,6262,"fareway stores, inc. #222 / rockwell city",calhoun,13,rockwell city,50579,POINT (-94.624993 42.398862),339 east high street,Supermarket
1909,6225,day break / wheatland,clinton,23,wheatland,52777,POINT (-90.841518 41.82906),102 us highway 30,Other
